dim0,dim1,word,word_most_similar,coords,word_most_similar_indices
-0.5299821,-0.43295932,what,"['why', 'mean', 'something']","(-0.5299820899963379, -0.43295931816101074)","[101, 1122, 530]"
-0.9715678,-0.47476667,do,"['don', 'want', 'mean']","(-0.9715678095817566, -0.47476667165756226)","[512, 3, 1122]"
-0.6161249,-0.07778628,you,"['we', 'guys', 'actually', 'so', 'they']","(-0.6161249279975891, -0.07778628170490265)","[395, 1087, 801, 267, 56]"
-1.0115694,-0.4799616,want,"['need', 'do', 'let', 'can', 'wish', 'going']","(-1.0115693807601929, -0.4799616038799286)","[203, 1, 803, 499, 894, 141]"
0.08886997,-0.1680629,to,['and'],"(0.08886996656656265, -0.16806289553642273)",[31]
0.19350035,-0.015601042,an,['another'],"(0.193500354886055, -0.015601041726768017)",[80]
0.011432962,0.0032859012,is,"['was', 'isn', 'am', 'has', 'wasn']","(0.01143296156078577, 0.00328590115532279)","[114, 689, 1082, 10, 327]"
0.18505101,0.23421134,with,"['and', 'on', 'against']","(0.18505100905895233, 0.23421134054660797)","[31, 68, 145]"
-0.18034224,0.023802048,or,"['either', 'maybe', 'something', 'any']","(-0.18034224212169647, 0.023802047595381737)","[874, 760, 530, 257]"
1.0776116,-0.25235865,soul,['cobalt'],"(1.0776115655899048, -0.25235864520072937)",[1041]
0.29714632,0.15024534,has,"['had', 'have', 'is']","(0.2971463203430176, 0.15024533867835999)","[125, 97, 6]"
0.38460997,-0.25449133,been,"['had', 'since', 'already', 'gone']","(0.38460996747016907, -0.25449132919311523)","[125, 706, 949, 402]"
0.5904338,-0.024907647,by,[],"(0.5904337763786316, -0.02490764670073986)",[]
0.53184146,0.24877153,the,"['of', 'this']","(0.5318414568901062, 0.248771533370018)","[18, 184]"
0.4575161,0.41205668,divine,"['gate', 'arcane', 'energy']","(0.4575161039829254, 0.41205668449401855)","[841, 330, 466]"
1.309266,0.20777452,ancient,['dragon'],"(1.3092659711837769, 0.20777451992034912)",[906]
0.3318119,-0.24684462,goblin,"['halfling', 'girl']","(0.33181190490722656, -0.24684461951255798)","[295, 998]"
0.35724324,0.1509356,in,"['within', 'into', 'near', 'the']","(0.35724323987960815, 0.1509356051683426)","[61, 306, 543, 13]"
0.44861662,0.2862516,of,"['the', 'from', 'and']","(0.448616623878479, 0.28625160455703735)","[13, 152, 31]"
0.53449094,0.50288975,bright,"['queen', 'light']","(0.5344909429550171, 0.5028897523880005)","[20, 178]"
0.99958533,-0.16582333,queen,"['raven', 'bright', 'spider']","(0.9995853304862976, -0.1658233255147934)","[844, 19, 1203]"
0.16372591,0.25230387,as,"['so', 'and']","(0.16372591257095337, 0.2523038685321808)","[267, 31]"
0.45603913,-0.77969056,npc,"['mercer', 'played', 'matthew']","(0.4560391306877136, -0.7796905636787415)","[25, 23, 24]"
0.2295908,-1.3351082,played,"['mercer', 'npc', 'matthew']","(0.22959080338478088, -1.3351081609725952)","[25, 22, 24]"
-0.48272628,-0.8084809,matthew,"['mercer', 'npc', 'played']","(-0.4827262759208679, -0.8084809184074402)","[25, 22, 23]"
0.33976793,-1.2174827,mercer,"['matthew', 'played', 'npc']","(0.3397679328918457, -1.2174826860427856)","[24, 23, 22]"
0.57373977,0.6100367,female,"['woman', 'elf', 'human']","(0.573739767074585, 0.6100366711616516)","[164, 245, 625]"
-0.037300106,0.9464724,hair,[],"(-0.03730010613799095, 0.9464724063873291)",[]
-0.11107635,-0.14607151,that,"['actually', 'it', 'but', 'this', 'mean', 'which']","(-0.11107634752988815, -0.14607150852680206)","[801, 74, 120, 184, 1122, 287]"
-0.31750464,0.8768853,down,"['up', 'forward', 'back', 'over', 'out']","(-0.3175046443939209, 0.8768852949142456)","[379, 471, 75, 227, 86]"
-0.055772323,0.33625707,two,"['three', 'four', 'five', 'number', 'one', 'six', 'few', 'couple']","(-0.0557723231613636, 0.33625707030296326)","[517, 528, 446, 376, 53, 447, 216, 716]"
0.18855599,0.32964095,and,"['with', 'to', 'then']","(0.1885559856891632, 0.3296409547328949)","[7, 4, 256]"
-0.015236014,0.21263553,half,"['elf', 'elven', 'female', 'human']","(-0.015236013568937778, 0.21263553202152252)","[245, 911, 26, 625]"
-0.5515331,1.1029913,feet,"['foot', 'ten']","(-0.5515331029891968, 1.1029913425445557)","[486, 424]"
-0.082687005,0.7450752,almost,[],"(-0.08268700540065765, 0.7450752258300781)",[]
0.32488084,-0.12476523,her,"['his', 'herself', 'she', 'him']","(0.32488083839416504, -0.12476523220539093)","[116, 452, 41, 112]"
0.30221024,0.9978529,dark,['gray'],"(0.3022102415561676, 0.9978529214859009)",[1024]
0.34309927,1.1030477,blue,"['green', 'red', 'white', 'black', 'gray', 'color']","(0.3430992662906647, 1.1030477285385132)","[932, 159, 774, 38, 1024, 1016]"
0.30236495,1.2834021,black,"['white', 'gray', 'red']","(0.30236494541168213, 1.2834020853042603)","[774, 1024, 159]"
-0.050830703,-0.8087159,important,[],"(-0.05083070322871208, -0.8087158799171448)",[]
0.042347413,0.55300015,figure,"['find', 'see', 'reach']","(0.042347412556409836, 0.5530001521110535)","[326, 299, 501]"
0.10269752,-0.28525648,she,"['he', 'her']","(0.10269752144813538, -0.2852564752101898)","[113, 35]"
0.25045273,0.23571426,long,"['short', 'dark']","(0.2504527270793915, 0.23571425676345825)","[244, 36]"
0.692199,-0.04698486,living,[],"(0.6921989917755127, -0.04698485881090164)",[]
0.1495191,0.82363856,through,"['into', 'underneath', 'across', 'past', 'toward', 'out', 'down', 'around', 'towards']","(0.14951910078525543, 0.8236385583877563)","[306, 451, 353, 83, 537, 86, 29, 290, 332]"
0.99051154,-0.08116995,several,"['few', 'two', 'number', 'couple']","(0.9905115365982056, -0.08116994798183441)","[216, 30, 376, 716]"
0.6839573,-0.66664594,lives,"['home', 'allies']","(0.6839572787284851, -0.6666459441184998)","[391, 959]"
0.7372917,-0.65946084,history,"['knowledge', 'research']","(0.737291693687439, -0.6594608426094055)","[840, 910]"
0.7808796,-0.46989527,fan,['art'],"(0.7808796167373657, -0.46989527344703674)",[49]
0.98572856,-0.3566399,art,['fan'],"(0.9857285618782043, -0.35663989186286926)",[48]
-0.02074049,0.1434355,are,"['aren', 'were', 're', 'am', 'these']","(-0.020740490406751633, 0.1434354931116104)","[1057, 140, 350, 1082, 87]"
0.6406356,1.2448997,center,"['central', 'area']","(0.64063560962677, 1.2448997497558594)","[782, 709]"
0.26145032,-0.39593667,when,"['while', 'if', 'until', 'before', 'said', 'later', 'however']","(0.26145032048225403, -0.39593666791915894)","[60, 139, 535, 302, 137, 253, 479]"
-0.1474285,0.16394031,one,"['two', 'three']","(-0.147428497672081, 0.16394031047821045)","[30, 517]"
0.7694922,-0.15609223,their,"['our', 'your']","(0.7694922089576721, -0.15609222650527954)","[1034, 853]"
-0.23699817,-0.52195734,word,"['healing', 'potions', 'potion', 'message']","(-0.23699817061424255, -0.5219573378562927)","[982, 983, 1037, 992]"
0.2901392,-0.1715355,they,"['we', 'you', 'them']","(0.29013919830322266, -0.17153550684452057)","[395, 2, 90]"
-0.54518855,-0.6212991,should,"['could', 'll', 'will', 'might', 'need', 'would', 'let']","(-0.5451885461807251, -0.6212990880012512)","[259, 630, 541, 718, 203, 71, 803]"
0.3240876,1.0369505,body,['chest'],"(0.32408758997917175, 1.0369504690170288)",[604]
-0.7156635,-0.6895959,die,"['think', 'say', 'know']","(-0.715663492679596, -0.6895958781242371)","[311, 684, 136]"
0.17323615,-0.14182857,while,"['when', 'alone']","(0.17323614656925201, -0.14182856678962708)","[52, 432]"
0.58175397,0.48599088,within,"['in', 'from', 'beneath']","(0.5817539691925049, 0.48599088191986084)","[17, 152, 821]"
-0.10289361,0.7257568,range,"['mountain', 'within']","(-0.10289361327886581, 0.725756824016571)","[826, 61]"
0.24735859,-0.45462018,such,[],"(0.24735859036445618, -0.4546201825141907)",[]
0.7883097,-0.07750535,beacon,"['dynasty', 'empire']","(0.7883096933364868, -0.07750535011291504)","[848, 128]"
-0.94108915,-0.031633,does,"['doesn', 'did', 'do', 'mean', 'can', 'would']","(-0.9410891532897949, -0.03163300082087517)","[723, 298, 1, 1122, 499, 71]"
-0.37912685,-0.4213293,not,"['mean', 'isn', 'because']","(-0.3791268467903137, -0.4213292896747589)","[1122, 689, 816]"
-0.10856323,0.31000528,pass,"['without', 'walk', 'fly']","(-0.10856322944164276, 0.3100052773952484)","[587, 653, 1168]"
-0.089642726,0.23375602,on,"['onto', 'off', 'side', 'with']","(-0.0896427258849144, 0.23375602066516876)","[415, 250, 197, 7]"
-0.30186582,-0.02998016,whatever,"['something', 'what', 'either', 'anything', 'if']","(-0.301865816116333, -0.029980160295963287)","[530, 0, 874, 289, 139]"
0.7339793,-0.5380391,gods,[],"(0.7339792847633362, -0.5380390882492065)",[]
-0.3662873,-0.5485185,would,"['might', 'could', 'wouldn', 'will', 'may', 'should', 'll', 'must', 'won']","(-0.3662872910499573, -0.5485184788703918)","[718, 259, 724, 541, 183, 57, 630, 514, 754]"
-0.012747794,-0.4540137,for,[],"(-0.012747794389724731, -0.4540137052536011)",[]
0.03226745,1.0583473,its,[],"(0.03226745128631592, 1.0583473443984985)",[]
-0.5596346,0.1624734,it,"['actually', 'just', 'that', 'but', 'this']","(-0.5596346259117126, 0.1624733954668045)","[801, 179, 28, 120, 184]"
-0.26743755,0.50800854,back,"['up', 'down', 'over', 'then', 'out']","(-0.26743754744529724, 0.5080085396766663)","[379, 29, 227, 256, 86]"
0.4819196,-0.550607,child,[],"(0.4819195866584778, -0.5506070256233215)",[]
0.48838335,-0.44714376,given,"['taken', 'sent']","(0.48838335275650024, -0.4471437633037567)","[662, 928]"
0.36350328,-0.5384447,life,[],"(0.36350327730178833, -0.5384446978569031)",[]
-0.06103749,0.31045634,same,"['different', 'first']","(-0.06103748828172684, 0.3104563355445862)","[759, 223]"
-0.13643233,0.23987357,another,"['one', 'then', 'second', 'this', 'three']","(-0.13643233478069305, 0.23987357318401337)","[53, 256, 262, 184, 517]"
-0.21620895,0.5776992,comes,"['goes', 'gets', 'pulls', 'turns']","(-0.21620894968509674, 0.5776991844177246)","[579, 458, 442, 455]"
-0.0027344683,1.0425929,begin,"['begins', 'slowly', 'began', 'approach']","(-0.0027344683185219765, 1.0425928831100464)","[440, 485, 254, 947]"
0.18812265,0.6608247,past,"['through', 'forward', 'over', 'before', 'towards', 'down', 'toward']","(0.18812264502048492, 0.660824716091156)","[44, 471, 227, 302, 332, 29, 537]"
0.75240564,-0.3355632,called,['created'],"(0.7524056434631348, -0.33556321263313293)",[820]
1.3236939,-0.3056523,kryn,"['dynasty', 'xhorhas']","(1.323693871498108, -0.30565229058265686)","[848, 835]"
-0.22248752,0.5428794,out,"['down', 'back', 'through', 'up', 'off']","(-0.22248752415180206, 0.5428794026374817)","[29, 75, 44, 379, 250]"
0.08379139,0.32447845,these,"['those', 'number', 'various', 'many', 'different', 'three']","(0.08379139006137848, 0.3244784474372864)","[658, 376, 491, 360, 759, 517]"
0.8956726,-0.7315166,children,[],"(0.895672619342804, -0.7315165996551514)",[]
0.851126,-0.87002575,return,"['returned', 'decided']","(0.8511260151863098, -0.8700257539749146)","[251, 279]"
0.22884177,-0.061504345,them,"['him', 'us', 'others', 'guards', 'they', 'people']","(0.22884176671504974, -0.06150434538722038)","[112, 1067, 336, 401, 56, 329]"
0.37703162,0.22424728,source,['arcane'],"(0.3770316243171692, 0.2242472767829895)",[330]
-0.045535248,-0.18595466,more,"['less', 'than', 'better']","(-0.04553524777293205, -0.18595466017723083)","[742, 547, 746]"
0.60228217,0.14029352,eventually,"['toward', 'until', 'before']","(0.6022821664810181, 0.14029352366924286)","[537, 535, 302]"
0.6544312,-0.4246262,become,['return'],"(0.6544312238693237, -0.4246262013912201)",[89]
0.3325326,-0.49248412,who,['named'],"(0.3325326144695282, -0.49248412251472473)",[215]
-0.32806367,-0.1409396,enough,"['too', 'but', 'quite', 'very', 'unfortunately', 'really', 'able']","(-0.3280636668205261, -0.1409395933151245)","[459, 120, 725, 117, 780, 728, 688]"
-0.26491135,-0.23278518,have,"['ve', 'haven', 'had', 'has', 'need']","(-0.26491135358810425, -0.2327851802110672)","[403, 712, 125, 10, 203]"
0.81935596,-0.8998181,learned,"['learn', 'revealed']","(0.8193559646606445, -0.8998181223869324)","[99, 383]"
0.3292886,-1.0432806,learn,"['learned', 'read', 'draw']","(0.3292886018753052, -1.0432806015014648)","[98, 1013, 1202]"
-0.028037766,-0.47159916,true,['problem'],"(-0.028037765994668007, -0.47159916162490845)",[292]
